codmun,municipio,codRegiaoSaude,nomeRegiaoSaude,populacaoTCU2019,casosAcumulado,obitosAcumulado,porcentagem_casos_hab,porcentagem_obitos_casos,CIR,CodRegiao,Sede,Região de Saúde,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Código Município,Código Município Completo,Municipio,CodMunIBGE,Código,Área Territorial - km²,População estimada - pessoas,Densidade demográfica - hab/km²,Escolarização 6 a 14 anos,IDHM - Índice de desenvolvimento humano municipal,Mortalidade infantil - óbitos por mil nascidos vivos,Receitas realizadas - R$ (×1000),Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$,v0002_codigo_do_municipio,GeoSES,educação,mobilidade,pobreza,privacao_material,riqueza,renda,segregacao
240850,Ouro Branco,24004,4ª REGIAO DE SAUDE - CAICO,4812,28,0,0.005818786367414797,0.0,4,24004,Caicó,Seridó,2,Central Potiguar,12,Seridó Oriental,8508.0,2408508,Ouro Branco,240850,2408508,253.21,4812,18.55,96.9,0.645,16.39,16577.50632,13465.78753,9667.78,2408508,-0.4209462798464024,69.06655051742673,0,48.39269465887612,9.592336198111925,0.7381354562683438,1282.3746563326285,0.1520972666583713
240860,Paraná,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,4254,8,1,0.0018805829807240246,0.125,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,6,Pau dos Ferros,8607.0,2408607,Paraná,240860,2408607,81.39,4254,48.56,98.9,0.589,33.33,16242.07808,14497.43791,7722.86,2408607,-0.6436900012262219,77.40127597979833,0,72.46917003167009,5.757797653250456,0.0,815.2962218150009,0.10294139276086868
240870,Paraú,24008,8ª REGIAO DE SAUDE - ACU,3768,47,1,0.012473460721868366,0.02127659574468085,8,24008,Açu,Vale do Açu,1,Oeste Potiguar,3,Médio Oeste,8706.0,2408706,Paraú,240870,2408706,383.214,3768,10.07,98.4,0.603,20.0,14817.01597,13224.03673,10548.49,2408706,-0.6060172351130038,71.11444733158272,0,59.764847582420906,9.802610419556801,0.0,1068.574329938364,0.07321727968686176
240880,Parazinho,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,5237,67,0,0.012793584113041816,0.0,3,24003,João Câmara,Mato Grande/Salineira,3,Agreste Potiguar,13,Baixa Verde,8805.0,2408805,Parazinho,240880,2408805,231.007,5237,17.64,98.7,0.549,15.63,23608.09339,20274.98435,80444.02,2408805,-0.7056122379847483,81.44300268092148,0,70.75397392981992,10.648728311633796,0.0,985.1142945957846,0.07007728279834602
240890,Parelhas,24004,4ª REGIAO DE SAUDE - CAICO,21477,95,0,0.004423336592633981,0.0,4,24004,Caicó,Seridó,2,Central Potiguar,12,Seridó Oriental,8904.0,2408904,Parelhas,240890,2408904,513.507,21477,39.67,98.3,0.676,14.34,39909.2605,37633.89004,14872.72,2408904,-0.36834279562239935,64.27108182579907,0,47.45730626424284,13.176762621268473,1.1589798469543453,1418.5295752586774,0.13501163670287042
240895,Rio do Fogo,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,10848,79,3,0.00728244837758112,0.0379746835443038,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,6,Pau dos Ferros,11007.0,2411007,Rodolfo Fernandes,240895,2411007,154.84,4467,28.53,99.0,0.604,17.24,17724.4474,15544.44232,8800.4,2411007,-0.6306932415748707,74.19969224489392,0,63.48442172701922,5.894075398120799,0.10806175406063367,986.9372771191344,0.08702350051361485
240910,Passa e Fica,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,13277,113,1,0.008510958800933947,0.008849557522123894,1,24001,São José de Mipibu ,Litoral Sul/Agreste,3,Agreste Potiguar,15,Agreste Potiguar,9100.0,2409100,Passa e Fica,240910,2409100,42.137,13277,263.43,97.0,0.606,38.71,29748.49492,26993.79074,8213.45,2409100,-0.6233173746117739,75.31818624357211,0,67.6055204318994,8.571566747689065,0.1783309525440231,1034.1737971602524,0.0851790293053476
240920,Passagem,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,3089,31,0,0.010035610229847848,0.0,1,24001,São José de Mipibu ,Litoral Sul/Agreste,3,Agreste Potiguar,15,Agreste Potiguar,9209.0,2409209,Passagem,240920,2409209,41.215,3089,70.24,98.2,0.589,43.48,13875.96096,12682.96873,9827.45,2409209,-0.6572628252638668,76.18451608278778,0,72.3873671531648,9.24854442578437,0.7252080762420459,859.067121238368,0.0613813197922628
240930,Patu,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,12755,35,1,0.0027440219521756176,0.028571428571428567,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,7,Umarizal,9308.0,2409308,Patu,240930,2409308,319.135,12755,37.49,96.8,0.618,12.35,30050.93294,27109.45446,10088.63,2409308,-0.5254739813777871,71.64109435294104,0,59.95246058611986,8.44558185310239,0.6911284262375794,1122.7180023965698,0.10650431036287956
240933,Santa Maria,24005,5ª REGIAO DE SAUDE - SANTA CRUZ,5551,66,3,0.011889749594667627,0.045454545454545456,4,24004,Caicó,Seridó,2,Central Potiguar,10,Serra de Santana,11403.0,2411403,Santana do Seridó,240933,2411403,1425.364,12791,9.73,97.6,0.591,9.26,29416.09076,28283.36512,9351.32,2411403,-0.6332796668112126,75.31908127631657,0,70.13646160359544,7.896230255908081,0.12785609772893558,975.8680833318024,0.0776234169282688
